OBJECTID,LEASE_NUMBER,BUS_ASC_NAME,IBLA_APPEAL_FLAG,LEASE_EXPIR_DATE,LEASE_STATUS_CD,LEASE_EFF_DATE,LEASE_EXPT_EXPIR,LEASE_STATUS_CHANGE_DT,LEASE_SECT_AREA,LEASE_SEGR_FLAG,LSE_STAT_EFF_DT,SERIAL_TYPE_CODE,SEGR_XREF_NUM,RGN_APPEAL_FLAG,PEND_LITIG_FLAG,ROYALTY_RATE,INITIAL_AREA,MINERAL_TYPE_CD,BID_SYSTEM_CODE,BID_AMOUNT,PRIMARY_TERM,SALE_DATE,SALE_NUMBER,CURRENT_AREA,ACRE_HECTARE_CD,MMS_REGION_CODE,PROT_NUMBER,PROT_NAME,BLOCK_NUMBER,AREA_CODE,AC_LAB,DATUM_CODE,TRACT_NUMBER,MMS_PLAN_AREA_CD,LEASE_IS_ACTIVE,NOTES,Shape__Area,Shape__Length
1934,Y00736,SOHIO,,1993/10/28 00:00:00+00,RELINQ,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1993/10/28 00:00:00+00,0,N,1993/10/28 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,2153000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,600,DI,DI600,0,736,BFT,N,,0.00579977500092355,0.355959335799389
1935,Y00735,PLACID,,1994/10/31 00:00:00+00,EXPIR,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1994/10/31 00:00:00+00,0,N,1994/10/31 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,8531712,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,599,DI,DI599,0,735,BFT,N,,0.00579878679945978,0.355962524182451
1936,Y00734,EXXON,,1992/09/30 00:00:00+00,RELINQ,1984/10/01 00:00:00+00,1994/09/30 00:00:00+00,1992/09/30 00:00:00+00,0,N,1992/09/30 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,1919000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,598,DI,DI598,0,734,BFT,N,,0.00579721059966687,0.355960151418605
1937,Y00744,SOHIO,,1993/10/28 00:00:00+00,EXPIR,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1993/10/28 00:00:00+00,0,N,1993/10/28 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,2465000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,646,DI,DI646,0,744,BFT,N,,0.00578743679943727,0.355311714701804
1938,Y00743,SOHIO,,1994/10/31 00:00:00+00,RELINQ,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1994/10/31 00:00:00+00,0,N,1994/10/31 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,3582000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,645,DI,DI645,0,743,BFT,N,,0.0057874576004906,0.35533615614287
1939,Y00742,SOHIO,,1994/10/31 00:00:00+00,RELINQ,1984/11/01 00:00:00+00,1994/10/31 00:00:00+00,1994/10/31 00:00:00+00,0,N,1994/10/31 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,4109000,10,1984/08/22 00:00:00+00,87,2304,H,Y,NR05-01,Dease Inlet                                                 ,644,DI,DI644,0,742,BFT,N,,0.00578684179981792,0.355354811213438
1940,Y02316,CPAI,,2013/04/26 00:00:00+00,RELINQ,2008/05/01 00:00:00+00,,2013/04/26 00:00:00+00,0,,2013/04/26 00:00:00+00,L,,,,12.5,2304,O&G,RS C3,125115,10,2008/02/06 00:00:00+00,193,2304,H,Y,NR03-02,Posey                                                       ,6871,U3,U36871,1,02316,CHU,N,,0.00574578420037142,0.35361347522513
1941,Y01967,SHELL,,2016/03/30 00:00:00+00,RELINQ,2008/04/01 00:00:00+00,,2016/03/30 00:00:00+00,0,,2016/03/30 00:00:00+00,L,,,,12.5,2304,O&G,RS C3,101441,10,2008/02/06 00:00:00+00,193,2304,H,Y,NR02-02,Tison                                                       ,6872,TS,TS6872,1,01967,CHU,N,,0.00574472655171121,0.353620151095998
1942,Y02317,SHELL,,2016/05/16 00:00:00+00,RELINQ,2008/06/01 00:00:00+00,,2016/05/16 00:00:00+00,0,,2016/05/16 00:00:00+00,L,,,,12.5,2304,O&G,RS C3,103195,10,2008/02/06 00:00:00+00,193,2304,H,Y,NR03-02,Posey                                                       ,6905,U3,U36905,1,02317,CHU,N,,0.0057397086002311,0.35283228882211
1943,Y02127,SHELL,,2016/04/27 00:00:00+00,RELINQ,2008/05/01 00:00:00+00,,2016/04/27 00:00:00+00,0,,2016/04/27 00:00:00+00,L,,,,12.5,2304,O&G,RS C3,372201,10,2008/02/06 00:00:00+00,193,2304,H,Y,NR03-01,Karo                                                        ,6916,KR,KR6916,1,02127,CHU,N,,0.00573875190002582,0.35283670792466
1944,Y02318,REPSOL,,2016/05/26 00:00:00+00,RELINQ,2008/05/01 00:00:00+00,,2016/05/26 00:00:00+00,0,,2016/05/26 00:00:00+00,L,,,,12.5,2304,O&G,RS C3,110051,10,2008/02/06 00:00:00+00,193,2304,H,Y,NR03-02,Posey                                                       ,6908,U3,U36908,1,02318,CHU,N,,0.00573875189911632,0.352836707924633
1945,Y01802,CONOCO,,2008/12/22 00:00:00+00,RELINQ,2005/06/01 00:00:00+00,2015/05/31 00:00:00+00,2008/12/22 00:00:00+00,873.317465,,2008/12/22 00:00:00+00,L,,,,12.5,873.317465,O&G,RS A2,152500,10,2005/03/30 00:00:00+00,195,873.317465,H,Y,NR06-03,Beechey Point                                               ,6516B,BP,BP6516B,1,1802,BFT,N,,0.00643827699695976,0.582537573085223
1946,Y01803,NACRA,,,NO-ISS,,,,31.534133,,2005/05/09 00:00:00+00,L,,,,12.5,31.534133,O&G,RS A1,1650,10,2005/03/30 00:00:00+00,195,31.534133,H,Y,NR06-03,Beechey Point                                               ,6822,BP,BP6822,1,1803,BFT,N,,7.510844625358e-05,0.0501657037699181
1947,Y01804,ASRC EXPL,,2020/04/16 00:00:00+00,RELINQ,2005/08/01 00:00:00+00,,2020/04/16 00:00:00+00,0,,2020/04/16 00:00:00+00,L,,,,12.5,2304,O&G,RS B3,320981,10,2005/03/30 00:00:00+00,195,2304,H,Y,NR06-04,Flaxman Island                                              ,6657,FI,FI6657,1,1804,BFT,N,,0.00552027839967195,0.342664685194914
1948,Y01805,ASRC EXPL,,2020/04/16 00:00:00+00,RELINQ,2005/08/01 00:00:00+00,2019/08/15 00:00:00+00,2020/04/16 00:00:00+00,0,,2020/04/16 00:00:00+00,L,,,,12.5,2304,O&G,RS B3,537264,10,2005/03/30 00:00:00+00,195,2304,H,Y,NR06-04,Flaxman Island                                              ,6658,FI,FI6658,1,1805,BFT,N,,0.00552061994949327,0.342689271334308
1949,Y01806,ASRC EXPL,,2020/04/16 00:00:00+00,RELINQ,2005/08/01 00:00:00+00,,2020/04/16 00:00:00+00,0,,2020/04/16 00:00:00+00,L,,,,12.5,2304,O&G,RS B3,80651,10,2005/03/30 00:00:00+00,195,2304,H,Y,NR06-04,Flaxman Island                                              ,6659,FI,FI6659,1,1806,BFT,N,,0.00552036850058357,0.342687926317745
1950,Y01807,ASRC EXPL,,2020/04/16 00:00:00+00,RELINQ,2005/08/01 00:00:00+00,,2020/04/16 00:00:00+00,0,,2020/04/16 00:00:00+00,L,,,,12.5,2304,O&G,RS B3,5300316,10,2005/03/30 00:00:00+00,195,2304,H,Y,NR06-04,Flaxman Island                                              ,6707,FI,FI6707,1,1807,BFT,N,,0.00550994024979445,0.342144674212126
1951,Y01808,ASRC EXPL,,2020/04/16 00:00:00+00,RELINQ,2005/08/01 00:00:00+00,,2020/04/16 00:00:00+00,0,,2020/04/16 00:00:00+00,L,,,,12.5,2304,O&G,RS B3,12220173,10,2005/03/30 00:00:00+00,195,2304,H,Y,NR06-04,Flaxman Island                                              ,6708,FI,FI6708,1,1808,BFT,N,,0.00551028179961577,0.342169256736707
